pid,front_color,back_color
200300308,주황,
200400387,연두,연두
200400388,노랑,
200308481,빨강,노랑
198500245,노랑,
199100471,하양,
200600094,노랑,
197900544,노랑,
200702802,노랑,
200702584,하양,
200702385,분홍,
200702572,하양,
200703825,하양,
200702525,노랑,
200612728,하양,
200108672,하양,
200209392,하양,
200209393,하양,
199303998,파랑,
199303998,하양,
200612599,하양,
200009386,하양,
200109958,하양,
200512162,하양,
200605325,하양,
200209391,하양,
199604975,초록,빨강
200605327,하양,
200605329,하양,
200605330,하양,
200605331,하양,
200606263,하양,
200009388,노랑,
200610878,하양,
200210719,초록,빨강
200308509,하양,
200308510,하양,
200604158,하양,
200512177,하양,
200604159,하양,
200604160,하양,
197700537,분홍,
199600107,주황,
200108678,노랑,
200209622,하양,
198100697,초록,
198301310,하양,
198501802,노랑,
200209427,하양,
200410868,파랑,
200702573,갈색,갈색
199400394,분홍,
200308536,파랑,하양
200512181,초록,하양
200512182,갈색,하양
200200377,하양,
200108414,노랑,
200108415,하양,
200612611,초록,
199704229,하양,
199704231,하양,
200811008,초록,
200300162,갈색,
200300313,초록,
200604164,하양,
200612701,초록,
200612754,주황,주황
200612598,파랑,하양
198500241,하양,
198702205,주황,
199403293,노랑,
200308480,주황,노랑
199800514,하양,
198000626,분홍,하양
198000627,분홍,분홍
200606617,노랑,
200702384,분홍,자주
200702574,분홍,
200703852,하양,
199907332,하양,
198902794,파랑,
198902796,노랑,
198902797,하양,
199203462,주황,
199203463,노랑,
200702534,노랑,
200410825,하양,
200703826,하양,
200703826,하양,
200702358,하양,
200000601,갈색,갈색
198800355,하양,
199700581,하양,
200512142,하양,
200610632,파랑,하양
200610633,파랑,파랑
200610634,파랑,노랑
200400075,초록,초록
200400078,회색,노랑
200409973,연두,노랑
200409973,연두,노랑
200300069,빨강,빨강
200300070,분홍,
200612612,주황,하양
200200132,파랑,파랑
200200133,갈색,
200808248,하양,
200200134,노랑,노랑
200209630,하양,
200510991,노랑,
200610630,하양,하양
200610631,노랑,하양
199200701,하양,
200400079,초록,초록
198800699,빨강,투명
200009387,분홍,
199900176,하양,
200807312,분홍,
198400394,하양,
200400392,하양,
200500482,노랑,
200604151,하양,
200807310,하양,
200100429,하양,
200500476,주황,
199203481,분홍,
199203482,분홍,
200100431,노랑,
199000876,빨강,노랑
197900066,하양,
200605323,하양,
200511063,하양,
200511064,하양,하양
200511066,노랑,노랑
200606180,빨강,빨강
200606181,갈색,빨강
200610660,하양,
199604708,하양,
199203279,하양,
200307647,하양,
200307649,노랑,
200307650,주황,
200008796,분홍,
200008798,노랑,회색
197700120,하양,
200708537,파랑,노랑
200807342,빨강,
200008771,갈색,갈색
200008772,갈색,주황
198300343,하양,
198300344,하양,
200500102,주황,
199604709,하양,
200604176,파랑,파랑
197000049,하양,
200409931,주황,
199906916,주황,
200108800,하양,
200409932,하양,
200409933,파랑,
199704368,하양,
199704369,하양,
200511035,하양,
200511036,노랑,노랑
200511037,하양,
200410071,갈색,
200210689,주황,
200108739,하양,
200603863,하양,
200603865,하양,
200410066,하양,하양
200307794,노랑,
200511023,노랑,
200008764,노랑,
200511029,하양,
200600522,분홍,
200307815,하양,
200307816,하양,
199403112,회색,
199504165,회색,
199604694,빨강,노랑
200400084,갈색,
197700525,하양,
200410070,하양,
199203393,초록,파랑
200410072,갈색,
200410073,갈색,
200307809,노랑,
200511049,하양,
200610658,분홍,
200410067,노랑,
201103297,주황,
200610651,하양,
200607634,하양,
200610652,파랑,주황
200108816,하양,
199602451,하양,하양
199704612,하양,
199704618,주황,
200108763,분홍,
200410087,하양,
200410088,하양,
200410089,하양,
200410090,하양,
200511055,하양,하양
200108764,주황,
200008776,연두,
200008778,분홍,
200511056,파랑,하양
200511057,갈색,하양
200511058,하양,하양
200400083,노랑,노랑
200000173,노랑,노랑
198501196,하양,
200307807,연두,
200603856,하양,
200603859,하양,
200603860,하양,
200610653,주황,하양
199304176,주황,
200603861,하양,
200108765,노랑,
200209695,갈색,
200410081,파랑,
200410082,파랑,
200410085,하양,
200410086,하양,
200307799,노랑,
198800487,갈색,
200511102,노랑,
200807365,갈색,
200300470,하양,
200209893,파랑,
200209894,노랑,
200209895,하양,
200511125,하양,
199200653,하양,
199700840,보라,보라
198900528,갈색,
199900600,하양,
200100397,빨강,빨강
200500630,분홍,
200600138,분홍,
199604751,하양,
197500654,갈색,
200702200,분홍,
200808253,분홍,
200702259,하양,
199500324,빨강,회색
197000050,하양,
200511106,노랑,하양
200511107,분홍,하양
200511108,하양,하양
199605130,노랑,
199907323,회색,
200603815,하양,하양
200610661,파랑,파랑
200511067,하양,
200511068,하양,
200000537,하양,
200603872,초록,
200605253,하양,
200200135,빨강,빨강
200009616,갈색,
199900067,하양,
200512161,하양,
197800024,갈색,
200606428,하양,
200008568,파랑,파랑
200606183,하양,
199906840,하양,하양
200108384,청록,청록
200409929,노랑,
200404042,하양,
199701035,갈색,노랑
200705782,하양,
200400347,주황,주황
200500451,하양,
200600087,하양,
199400373,파랑,
199304304,빨강,하양
199806592,노랑,
198800245,하양,
199504276,노랑,
200307980,하양,
200300296,초록,
200400339,하양,
200400340,파랑,
200702260,하양,
199304303,회색,하양
198500649,분홍,
200612350,파랑,
200109139,분홍,
200410337,하양,
200511262,하양,
200511263,하양,
200511266,하양,
199504273,파랑,
199806931,하양,
199604928,회색,
197600036,빨강,보라
200009061,하양,
200009062,분홍,
200009063,노랑,
200702749,하양,
199201002,파랑,
199601062,노랑,노랑
199701265,하양,
199101033,노랑,
197900226,하양,
200702503,하양,
200100664,하양,
197000053,하양,
199101028,주황,
200808273,분홍,
197900575,하양,
200702709,초록,노랑
200702734,주황,
197800143,노랑,
200001407,빨강,빨강
200808247,빨강,
198100015,하양,
200100660,하양,
198000170,하양,
200702769,빨강,
198200184,파랑,하양
200401221,하양,
200401222,파랑,하양
199101039,주황,
198900887,하양,
199101034,하양,
199101035,하양,
199801158,연두,연두
199901117,초록,
200511277,하양,하양
200109233,하양,
200606210,하양,
200802618,갈색,
200300867,초록,초록
200300878,초록,
200300879,하양,
200308647,파랑,
199901118,주황,노랑
200300886,노랑,
199101049,하양,
199801165,하양,
200501155,연두,
199701271,하양,
200101018,자주,노랑
200101022,하양,
200001426,초록,
200001427,하양,
200702521,분홍,
199504249,하양,
199504250,하양,
200001430,하양,
